Id;Item_ID;Product;Quantity;Price
1;I00001;Samsung Galaxy A36;2;19791
2;I00002;Samsung Galaxy Tab S6 Lite;1;179901
3;I00003;Soundbar Samsung com 2.1 canais, Dolby Digital;2;10720
4;I00004;Carregador Turbo USB-C 30W;4;499
5;I00005;Carregador Turbo Tipo-C 50w;3;539
6;I00006;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
7;I00007;Samsung Galaxy Tab S6 Lite;3;179901
8;I00008;ACER Notebook Gamer Nitro;2;46040
9;I00009;SSD Crucial 1TB NVMe M.2;1;4490
10;I00010;Projetor Smart Epson EpiqVision, FULL HD;3;304999
11;I00011;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
12;I00012;Soundbar Tomate MTS-2017, Bivolt;2;7699
13;I00013;ACER Notebook Gamer Nitro;4;46040
14;I00014;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
15;I00015;Fone de ouvido Sem Fio QCY T27;2;12986
16;I00016;Película para iPhone 14Pro Anti impacto;2;518
17;I00017;"Monitor UHD Samsung 32""";2;162657
18;I00018;Carregador Turbo Tipo-C 50w;2;539
19;I00019;Fone de Ouvido Sem Fio TWS, PHILIPS;2;12491
20;I00020;Carregador Turbo USB-C 30W;3;499
21;I00021;"Monitor UHD Samsung 32""";2;162657
22;I00022;Soundbar Samsung com 2.1 canais, Dolby Digital;1;10720
23;I00023;Smart TV 32” Philco LED Roku TV;2;9490
24;I00024;Smart TV 32” Philco LED Roku TV;1;9490
25;I00025;Película para iPhone 14Pro Anti impacto;2;518
26;I00026;"Monitor UHD Samsung 32""";4;162657
27;I00027;Projetor Smart Epson EpiqVision, FULL HD;1;304999
28;I00028;Soundbar Samsung com 2.1 canais, Dolby Digital;3;10720
29;I00029;Teclado Mecanico Fizz;2;1749
30;I00030;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
31;I00031;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
32;I00032;Fone de Ouvido Profissional EDIFIER WH950NB;1;8990
33;I00033;Soundbar Tomate MTS-2017, Bivolt;3;7699
34;I00034;ACER Notebook Gamer Nitro;4;46040
35;I00035;Película de Vidro 3D Galaxy A30s;3;179
36;I00036;Carregador Turbo Tipo-C 50w;4;539
37;I00037;Carregador Turbo Tipo-C 50w;1;539
38;I00038;Fone de Ouvido Sem Fio TWS, PHILIPS;4;12491
39;I00039;Samsung Galaxy A36;3;19791
40;I00040;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
41;I00041;Teclado Mecanico Fizz;1;1749
42;I00042;Carregador Turbo Tipo-C 50w;1;539
43;I00043;Soundbar Tomate MTS-2017, Bivolt;2;7699
44;I00044;Fone de Ouvido Profissional EDIFIER WH950NB;1;8990
45;I00045;Fone de Ouvido Sem Fio TWS, PHILIPS;1;12491
46;I00046;Projetor EPSON Powerlite Wide Screen;3;274213
47;I00047;ACER Notebook Gamer Nitro;3;46040
48;I00048;Fone de Ouvido Profissional EDIFIER WH950NB;2;8990
49;I00049;Fone de Ouvido Profissional AKG K92;1;42899
50;I00050;Carregador Turbo Tipo-C 50w;1;539
51;I00051;Teclado Mecanico Fizz;1;1749
52;I00052;Fone de Ouvido Profissional EDIFIER WH950NB;3;8990
53;I00053;Samsung Galaxy Tab S6 Lite;2;179901
54;I00054;ACER Notebook Gamer Nitro;3;46040
55;I00055;Fone de Ouvido Profissional AKG K92;4;42899
56;I00056;"Smart TV LED 32""Samsung LED Tizen TV";2;10790
57;I00057;Samsung Galaxy Tab S6 Lite;3;179901
58;I00058;Soundbar Tomate MTS-2017, Bivolt;4;7699
59;I00059;Fone de Ouvido Profissional EDIFIER WH950NB;4;8990
60;I00060;Fone de ouvido Sem Fio QCY T27;2;12986
61;I00061;Fone de Ouvido Sem Fio TWS, PHILIPS;4;12491
62;I00062;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
63;I00063;Mouse Redragon Wireless;4;16599
64;I00064;Soundbar Tomate MTS-2017, Bivolt;3;7699
65;I00065;Fone de ouvido Sem Fio QCY T27;1;12986
66;I00066;Película de Vidro 3D Galaxy A30s;2;179
67;I00067;Carregador Turbo USB-C 30W;1;499
68;I00068;"Smart TV LED 32""Samsung LED Tizen TV";4;10790
69;I00069;"Smart TV LED 32""Samsung LED Tizen TV";3;10790
70;I00070;Teclado Mecanico Fizz;2;1749
71;I00071;"Smart TV LED 32""Samsung LED Tizen TV";1;10790
72;I00072;Smart TV 32” Philco LED Roku TV;2;9490
73;I00073;Projetor Smart Epson EpiqVision, FULL HD;1;304999
